PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 26-Aug-2019 10:55:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
,p,A,w,b,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,,Circ_DL,Rec_DL,Com_DL,Elo_DL,,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_H,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF,AR_F,AR_SC,Reg
S2671_613 (6).tif,459.04,10393,100.19,158.59,361.39,155,65.03,159,99,115.03,438.42,11191,485.87,153.79,93.24,161.04,100.19,158.59,161,,1.27,0.89,0.65,2.38,,0.62,1.65,1.06,0.93,,0.79,0.38,0.62,115.03,0.96,0.93,,0.62,0.61,0.96,0.93,,0.51,0.65,0.62,0.63,1.58,0.21
S2671_616 (2).tif,632.3,19467,132.45,208.8,494.6,206,93.21,213,137,157.44,602.52,22518,613.44,216.44,122.79,217.59,132.45,208.8,218,,1.28,0.93,0.7,2.21,,0.61,1.76,0.97,0.86,,0.78,0.36,0.64,157.44,0.95,0.86,,0.61,0.57,0.95,0.86,,0.52,0.7,0.61,0.63,1.58,0.23
S2671_616 (3).tif,755.13,14812,145.38,162.78,431.43,134,107,167,167,137.33,569.45,20260,586.28,158.36,143.33,188.96,145.38,162.78,187,,1.75,1.23,0.63,1.25,,0.33,1.1,0.78,0.73,,0.57,0,1,137.33,0.75,0.73,,0.33,0.91,0.75,0.73,,0.53,0.63,0.33,0.89,1.12,0.11
S2671_616 (4).tif,588.98,14968,125,171.53,433.7,155,91.25,175,125,138.05,505,16806,506.57,160.84,123.32,177.39,125,171.53,178,,1.36,0.99,0.7,1.7,,0.54,1.3,0.86,0.89,,0.74,0.29,0.71,138.05,0.86,0.89,,0.54,0.77,0.86,0.89,,0.61,0.7,0.54,0.73,1.37,0.23
S2671_616 (5).tif,505.69,10892,119.88,151.57,369.96,152,71.82,176,127,117.76,473.71,12845,537.28,156.88,104.58,179.95,119.88,151.57,180,,1.37,0.93,0.6,2.12,,0.54,1.5,1.06,0.85,,0.73,0.28,0.72,117.76,0.94,0.85,,0.54,0.67,0.94,0.85,,0.43,0.6,0.54,0.79,1.26,0.14
S2671_616.tif,742.08,20082,152.76,215.99,502.35,198,94.13,235,171,159.9,655.14,26004,686.05,214.89,135.18,238.51,152.76,215.99,240,,1.48,1.01,0.61,2.1,,0.46,1.59,0.92,0.77,,0.68,0.27,0.73,159.9,0.88,0.77,,0.46,0.63,0.88,0.77,,0.45,0.61,0.46,0.71,1.41,0.13
S2671_617 (2).tif,408.19,9534,91,133,346.13,130,72.28,134,91,110.18,392.35,10148,399.57,136.47,91.06,138.65,91,133,138,,1.18,0.91,0.79,1.8,,0.72,1.5,0.98,0.94,,0.85,0.32,0.68,110.18,0.96,0.94,,0.72,0.67,0.96,0.94,,0.63,0.79,0.72,0.68,1.46,0.36
S2671_617 (3).tif,584.14,13214,88.67,233.82,407.49,207,56.21,239,88,129.71,568.97,15014,599.93,234.95,77.45,240.71,88.67,233.82,242,,1.43,0.91,0.64,3.68,,0.49,3.03,1.03,0.88,,0.7,0.63,0.37,129.71,0.97,0.88,,0.49,0.33,0.97,0.88,,0.29,0.64,0.49,0.38,2.64,0.09
S2671_617 (4).tif,469.24,10056,83.08,156.07,355.48,153,64.21,158,83,113.15,451.06,11077,469.71,166.4,80.46,163.2,83.08,156.07,164,,1.32,0.98,0.78,2.38,,0.57,2.07,1,0.91,,0.76,0.47,0.53,113.15,0.96,0.91,,0.57,0.48,0.96,0.91,,0.48,0.78,0.57,0.53,1.88,0.21
S2671_617 (5).tif,894.75,24733,171.44,268.6,557.5,256,98.61,280,172,177.46,754.68,32074,820.09,266.18,145.14,281.44,171.44,268.6,282,,1.6,1.02,0.54,2.6,,0.39,1.83,0.92,0.77,,0.62,0.39,0.61,177.46,0.84,0.77,,0.39,0.55,0.84,0.77,,0.4,0.54,0.39,0.64,1.57,0.08
S2671_617 (6).tif,653.9,16278,111.62,225.34,452.28,192,76.41,227,114,143.96,588.77,20136,634.87,218.8,106.09,227.86,111.62,225.34,229,,1.45,0.97,0.65,2.51,,0.48,2.06,0.97,0.81,,0.69,0.5,0.5,143.96,0.9,0.81,,0.48,0.48,0.9,0.81,,0.4,0.65,0.48,0.5,2.02,0.12
S2671_617 (7).tif,615.96,18365,144.49,191.96,480.4,188,95.45,192,147,152.92,568.4,20539,593.6,175.61,144.62,196.37,144.49,191.96,194,,1.28,0.92,0.66,1.97,,0.61,1.21,0.96,0.89,,0.78,0.23,0.77,152.92,0.92,0.89,,0.61,0.82,0.92,0.89,,0.61,0.66,0.61,0.75,1.33,0.24
S2671_617.tif,590.32,16710,139.07,167.92,458.24,164,102.7,197,134,145.86,542.33,18866,559.87,178.16,127.14,200.66,139.07,167.92,202,,1.29,0.96,0.72,1.6,,0.6,1.4,0.95,0.89,,0.78,0.32,0.68,145.86,0.92,0.89,,0.6,0.71,0.92,0.89,,0.53,0.72,0.6,0.83,1.21,0.23
S2671_618.tif,609.87,14329,116.25,173.32,424.34,162,84.04,184,117,135.07,509.87,16229,502.96,176.6,107.85,185.87,116.25,173.32,187,,1.44,1.05,0.71,1.93,,0.48,1.64,0.82,0.88,,0.7,0.36,0.64,135.07,0.84,0.88,,0.48,0.61,0.84,0.88,,0.53,0.71,0.48,0.67,1.49,0.18
