PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1159_1358.tif,448.03,11967,98.29,156.85,387.79,157,75.82,156,98,123.44,428.62,12491,427.09,157.62,97.56,157.01,98.29,156.85,158,,1.16,0.88,0.78,2.07,,0.75,1.62,0.95,0.96,,0.87,0.37,0.63,123.44,0.96,0.96,,0.75,0.62,0.96,0.96,,0.62,0.78,0.75,0.63,1.6,0.36
S1159_1366 (2).tif,637.41,22110,140.35,200.77,527.11,198,110.83,200,143,167.78,589.27,23390,602.76,198.72,144.71,205.71,140.35,200.77,203,,1.21,0.93,0.78,1.79,,0.68,1.37,0.95,0.95,,0.83,0.29,0.72,167.78,0.92,0.95,,0.68,0.73,0.92,0.95,,0.67,0.78,0.68,0.7,1.43,0.36
S1159_1370.tif,746.2,28025,160.6,253.79,593.44,238,110.62,257,160,188.9,689.61,30254,719.94,239.93,154.3,257.7,160.6,253.79,259,,1.26,0.9,0.69,2.15,,0.63,1.55,0.96,0.93,,0.8,0.38,0.62,188.9,0.92,0.93,,0.63,0.64,0.92,0.93,,0.54,0.69,0.63,0.63,1.58,0.23
S1159_1402.tif,656.48,26154,167.99,196.91,573.29,195,133.18,194,174,182.48,622.04,27186,620.71,194.74,172.5,204.31,167.99,196.91,202,,1.15,0.9,0.79,1.46,,0.76,1.13,0.95,0.96,,0.87,0.1,0.9,182.48,0.95,0.96,,0.76,0.89,0.95,0.96,,0.8,0.79,0.76,0.85,1.17,0.48
S1159_1404.tif,769.49,20415,128.82,211.78,506.5,207,98.7,210,133,161.22,633.03,24272,641.96,214.21,127.68,217.68,128.82,211.78,214,,1.52,1.13,0.75,2.1,,0.43,1.68,0.83,0.84,,0.66,0.37,0.63,161.22,0.82,0.84,,0.43,0.6,0.82,0.84,,0.55,0.75,0.43,0.61,1.64,0.18
S1159_1414 (3).tif,714.1,27703,182.78,209.37,590.02,210,132.96,215,190,187.81,664.97,30048,670.76,204.94,175.34,219.51,182.78,209.37,217,,1.21,0.91,0.72,1.58,,0.68,1.17,0.94,0.92,,0.83,0.12,0.88,187.81,0.93,0.92,,0.68,0.86,0.93,0.92,,0.73,0.72,0.68,0.87,1.15,0.36
S1159_1414.tif,693.15,29865,186.49,194.32,612.61,192,153.77,205,201,195,665.25,31023,666.75,198.74,193.23,216.62,186.49,194.32,217,,1.13,0.91,0.82,1.25,,0.78,1.03,0.96,0.96,,0.88,0.02,0.98,195,0.96,0.96,,0.78,0.97,0.96,0.96,,0.81,0.82,0.78,0.96,1.04,0.52
S1159_1454 (2).tif,671.6,26793,161.1,206.63,580.25,206,129.45,210,166,184.7,637.39,27900,648.9,217.12,160.66,219.46,161.1,206.63,220,,1.16,0.91,0.8,1.59,,0.75,1.35,0.97,0.96,,0.86,0.21,0.79,184.7,0.95,0.96,,0.75,0.74,0.95,0.96,,0.71,0.8,0.75,0.78,1.28,0.43
S1159_1478 (2).tif,816.93,32615,178.71,225.44,640.2,225,150.97,226,181,203.78,750.55,36625,755.32,231.55,189.98,249.79,178.71,225.44,251,,1.28,1.01,0.81,1.49,,0.61,1.22,0.92,0.89,,0.78,0.2,0.8,203.78,0.92,0.89,,0.61,0.82,0.92,0.89,,0.67,0.81,0.61,0.79,1.26,0.33
S1191_832.tif,378.96,6450,91.11,101.98,284.7,99,66.03,113,89,90.62,332.88,7199,343.39,104.06,84.24,113.85,91.11,101.98,114,,1.33,0.98,0.69,1.5,,0.56,1.24,0.91,0.9,,0.75,0.21,0.79,90.62,0.88,0.9,,0.56,0.81,0.88,0.9,,0.63,0.69,0.56,0.89,1.12,0.25
S1191_834.tif,338.43,6209,75.48,108.58,279.33,109,57.27,111,76,88.91,319.56,6622,324.17,109.75,73.7,112.5,75.48,108.58,113,,1.21,0.92,0.76,1.9,,0.68,1.49,0.96,0.94,,0.83,0.32,0.68,88.91,0.94,0.94,,0.68,0.67,0.94,0.94,,0.62,0.76,0.68,0.7,1.44,0.32
