PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1159_1242.tif,381.16,8488,103.59,113.99,326.59,107,74.1,137,92,103.96,370.43,8904,370.05,126.47,86.54,137.31,103.59,113.99,138,,1.17,0.88,0.72,1.44,,0.73,1.46,0.97,0.95,,0.86,0.33,0.67,103.96,0.97,0.95,,0.73,0.68,0.97,0.95,,0.57,0.72,0.73,0.91,1.1,0.3
S1159_1348.tif,955.09,34677,113.68,400.08,660.12,395,86.52,400,117,210.12,942.5,36243,1022.87,390.61,118.17,401.12,113.68,400.08,402,,1.45,0.93,0.76,4.57,,0.48,3.31,1.07,0.96,,0.69,0.71,0.29,210.12,0.99,0.96,,0.48,0.3,0.99,0.96,,0.27,0.76,0.48,0.28,3.52,0.1
S1159_1352 (2).tif,575.6,15696,96.5,190.19,444.12,191,82.58,190,98,141.37,517.8,16284,529.17,199.49,102.27,191.87,96.5,190.19,191,,1.3,1,0.86,2.31,,0.6,1.95,0.92,0.96,,0.77,0.48,0.52,141.37,0.9,0.96,,0.6,0.51,0.9,0.96,,0.54,0.86,0.6,0.51,1.97,0.28
S1159_1364 (3).tif,593.14,14922,93.84,247.68,433.03,249,59.94,247,96,137.84,587,16015,619.9,231.12,85.71,247.7,93.84,247.68,249,,1.37,0.87,0.64,4.15,,0.53,2.7,1.05,0.93,,0.73,0.61,0.39,137.84,0.99,0.93,,0.53,0.37,0.99,0.93,,0.31,0.64,0.53,0.38,2.64,0.11
S1159_1366.tif,914.41,41239,195.31,284.76,719.88,268,145.98,291,203,229.14,845.23,45741,862.17,289.32,191.45,296.68,195.31,284.76,293,,1.27,0.95,0.74,1.84,,0.62,1.51,0.94,0.9,,0.79,0.3,0.7,229.14,0.92,0.9,,0.62,0.66,0.92,0.9,,0.6,0.74,0.62,0.69,1.46,0.27
S1159_1386.tif,680.62,26088,145.89,220.55,572.57,214,120.02,220,146,182.25,661.65,27573,659.93,226.66,150.49,226.87,145.89,220.55,226,,1.19,0.93,0.81,1.78,,0.71,1.51,0.97,0.95,,0.84,0.34,0.66,182.25,0.97,0.95,,0.71,0.66,0.97,0.95,,0.65,0.81,0.71,0.66,1.51,0.37
S1159_1388.tif,704.02,19922,113.42,244.12,500.35,228,82.4,244,120,159.27,639.7,22087,664.04,241.26,110.98,249.19,113.42,244.12,250,,1.41,0.98,0.72,2.77,,0.51,2.17,0.94,0.9,,0.71,0.51,0.49,159.27,0.91,0.9,,0.51,0.46,0.91,0.9,,0.41,0.72,0.51,0.46,2.15,0.15
S1159_1398 (3).tif,883.6,41744,230.31,243.77,724.27,240,173.2,248,230,230.54,832.5,45131,863.38,249.33,225,284.2,230.31,243.77,283,,1.22,0.93,0.74,1.39,,0.67,1.11,0.98,0.92,,0.82,0.07,0.93,230.54,0.94,0.92,,0.67,0.9,0.94,0.92,,0.66,0.74,0.67,0.94,1.06,0.33
S1159_1428.tif,589.77,18689,141.29,186.18,484.62,187,101.47,197,139,154.26,569.49,20202,601.57,189.76,130.81,200.04,141.29,186.18,201,,1.22,0.9,0.71,1.84,,0.68,1.45,1.02,0.93,,0.82,0.29,0.71,154.26,0.97,0.93,,0.68,0.69,0.97,0.93,,0.59,0.71,0.68,0.76,1.32,0.29
S1159_1434.tif,462.76,10144,109.32,128.53,357.03,128,79.33,130,110,113.65,413.97,11486,433.14,138.17,103.18,138.75,109.32,128.53,139,,1.3,0.97,0.72,1.61,,0.6,1.34,0.94,0.88,,0.77,0.15,0.85,113.65,0.89,0.88,,0.6,0.75,0.89,0.88,,0.67,0.72,0.6,0.85,1.18,0.29
S1159_1436 (3).tif,876.51,43624,241.26,258.26,740.4,257,173.37,298,222,235.68,848.47,46439,888.13,274.65,209.53,298.44,241.26,258.26,299,,1.18,0.88,0.7,1.48,,0.71,1.31,1.01,0.94,,0.84,0.26,0.74,235.68,0.97,0.94,,0.71,0.76,0.97,0.94,,0.62,0.7,0.71,0.93,1.07,0.31
