PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1159_1322.tif,765.05,25004,163.15,207.35,560.54,205,120.44,213,161,178.43,634.8,27626,628.66,214.18,151.69,213.43,163.15,207.35,214,,1.36,1.03,0.74,1.7,,0.54,1.41,0.82,0.91,,0.73,0.24,0.76,178.43,0.83,0.91,,0.54,0.71,0.83,0.91,,0.7,0.74,0.54,0.79,1.27,0.28
S1159_1346 (3).tif,496.6,6915,83.61,137.49,294.78,111,50.91,150,88,93.83,379.1,8485,385.72,135.64,68.94,150.84,83.61,137.49,152,,1.68,1.12,0.6,2.18,,0.35,1.97,0.78,0.81,,0.59,0.41,0.59,93.83,0.76,0.81,,0.35,0.51,0.76,0.81,,0.39,0.6,0.35,0.61,1.64,0.08
S1159_1346.tif,1036,48410,206.81,349.51,779.96,347,138.42,349,215,248.27,955.19,54365,976.31,348.52,181.65,350.76,206.81,349.51,351,,1.33,0.93,0.67,2.51,,0.57,1.92,0.94,0.89,,0.75,0.38,0.62,248.27,0.92,0.89,,0.57,0.52,0.92,0.89,,0.5,0.67,0.57,0.59,1.69,0.19
S1159_1366 (2).tif,637.41,22110,140.35,200.77,527.11,198,110.83,200,143,167.78,589.27,23390,602.76,198.72,144.71,205.71,140.35,200.77,203,,1.21,0.93,0.78,1.79,,0.68,1.37,0.95,0.95,,0.83,0.29,0.72,167.78,0.92,0.95,,0.68,0.73,0.92,0.95,,0.67,0.78,0.68,0.7,1.43,0.36
S1159_1368 (3).tif,638.26,22346,170.84,179.82,529.91,175,124.29,188,169,168.68,596.01,23960,608.81,180.16,162.04,195.51,170.84,179.82,189,,1.2,0.91,0.73,1.41,,0.69,1.11,0.95,0.93,,0.83,0.1,0.9,168.68,0.93,0.93,,0.69,0.9,0.93,0.93,,0.74,0.73,0.69,0.95,1.05,0.37
S1159_1368.tif,728.1,28051,180.69,225.56,593.72,218,125.39,255,163,188.99,683.37,30239,715.1,236.38,156.88,254.66,180.69,225.56,256,,1.23,0.9,0.69,1.74,,0.66,1.51,0.98,0.93,,0.82,0.36,0.64,188.99,0.94,0.93,,0.66,0.66,0.94,0.93,,0.55,0.69,0.66,0.8,1.25,0.25
S1159_1370 (2).tif,555.96,18048,124.89,178.94,476.23,179,100.46,184,127,151.59,528.34,18817,527.94,186.67,123.94,186.07,124.89,178.94,187,,1.17,0.91,0.81,1.78,,0.73,1.51,0.95,0.96,,0.86,0.31,0.69,151.59,0.95,0.96,,0.73,0.66,0.95,0.96,,0.66,0.81,0.73,0.7,1.43,0.39
S1159_1370.tif,746.2,28025,160.6,253.79,593.44,238,110.62,257,160,188.9,689.61,30254,719.94,239.93,154.3,257.7,160.6,253.79,259,,1.26,0.9,0.69,2.15,,0.63,1.55,0.96,0.93,,0.8,0.38,0.62,188.9,0.92,0.93,,0.63,0.64,0.92,0.93,,0.54,0.69,0.63,0.63,1.58,0.23
S1159_1378 (2).tif,1157.63,36777,184.25,325.57,679.82,279,117.49,347,197,216.39,926.67,47018,961.61,303.45,167.92,358.68,184.25,325.57,359,,1.7,1.14,0.61,2.37,,0.34,1.81,0.83,0.78,,0.59,0.43,0.57,216.39,0.8,0.78,,0.34,0.55,0.8,0.78,,0.36,0.61,0.34,0.57,1.77,0.08
S1159_1378.tif,448.03,11967,98.29,156.85,387.79,157,75.82,156,98,123.44,428.62,12491,427.09,157.62,97.56,157.01,98.29,156.85,158,,1.16,0.88,0.78,2.07,,0.75,1.62,0.95,0.96,,0.87,0.37,0.63,123.44,0.96,0.96,,0.75,0.62,0.96,0.96,,0.62,0.78,0.75,0.63,1.6,0.36
S1159_1384 (2).tif,961.2,50187,211.92,313.77,794.15,305,159.53,323,215,252.78,909.79,52514,949.3,320.18,207.43,326.9,211.92,313.77,328,,1.21,0.91,0.75,1.91,,0.68,1.54,0.99,0.96,,0.83,0.33,0.67,252.78,0.95,0.96,,0.68,0.65,0.95,0.96,,0.6,0.75,0.68,0.68,1.48,0.31
