PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1255_1118.tif,527.14,6287,82.02,134.78,281.08,108,48.93,135,86,89.47,360.68,8184,357.56,131.89,70.46,135.25,82.02,134.78,136,,1.88,1.22,0.57,2.21,,0.28,1.87,0.68,0.77,,0.53,0.36,0.64,89.47,0.68,0.77,,0.28,0.53,0.68,0.77,,0.44,0.57,0.28,0.61,1.64,0.07
S1255_1128 (2).tif,403.95,9787,93,137,350.7,138,70.92,141,93,111.63,392.63,10215,395,143.6,87.75,141.44,93,137,142,,1.15,0.88,0.77,1.95,,0.75,1.64,0.98,0.96,,0.87,0.34,0.66,111.63,0.97,0.96,,0.75,0.61,0.97,0.96,,0.62,0.77,0.75,0.68,1.47,0.36
S1255_1132.tif,364.23,4382,68.05,101.57,234.66,89,43.59,108,69,74.7,294.25,5301,299.32,98.68,60.44,110.68,68.05,101.57,112,,1.55,1.07,0.63,2.04,,0.42,1.63,0.82,0.83,,0.64,0.36,0.64,74.7,0.81,0.83,,0.42,0.61,0.81,0.83,,0.46,0.63,0.42,0.67,1.49,0.12
S1255_1134 (2).tif,518.6,11530,93.98,162.11,380.64,162,71.75,163,98,121.16,457.33,12847,474.15,170.18,89.93,167.84,93.98,162.11,168,,1.36,1.01,0.76,2.26,,0.54,1.89,0.91,0.9,,0.73,0.4,0.6,121.16,0.88,0.9,,0.54,0.53,0.88,0.9,,0.52,0.76,0.54,0.58,1.72,0.21
S1255_1134 (3).tif,357.02,4969,73,94,249.88,88,53.52,100,73,79.54,295.92,5797,306.37,95.27,71,107.54,73,94,109,,1.43,1.07,0.72,1.64,,0.49,1.34,0.86,0.86,,0.7,0.27,0.73,79.54,0.83,0.86,,0.49,0.75,0.83,0.86,,0.55,0.72,0.49,0.78,1.29,0.19
S1255_1134.tif,533.97,8593,67,181,328.61,178,47.63,181,69,104.6,456.17,10339,499.46,189.76,63.15,181.31,67,181,182,,1.63,1.08,0.71,3.74,,0.38,3,0.94,0.83,,0.62,0.62,0.38,104.6,0.85,0.83,,0.38,0.33,0.85,0.83,,0.33,0.71,0.38,0.37,2.7,0.09
S1255_1140 (4).tif,322.68,5093,65.12,101.83,252.98,99,49.86,102,67,80.53,289.61,5615,294.17,105.4,63.4,104.19,65.12,101.83,105,,1.28,0.97,0.77,1.99,,0.61,1.66,0.91,0.91,,0.78,0.34,0.66,80.53,0.9,0.91,,0.61,0.6,0.9,0.91,,0.6,0.77,0.61,0.64,1.56,0.28
S1255_1140 (5).tif,210.75,1923,36.26,81.82,155.45,79,23.52,82,38,49.48,201.1,2123,212.33,78.54,33.08,82.03,36.26,81.82,83,,1.36,0.89,0.65,3.36,,0.54,2.37,1.01,0.91,,0.74,0.54,0.46,49.48,0.95,0.91,,0.54,0.42,0.95,0.91,,0.36,0.65,0.54,0.44,2.26,0.13
S1255_1140.tif,262.35,3265,55.36,81.73,202.56,82,39.36,83,57,64.48,237.92,3691,245.49,84.58,51.78,82.35,55.36,81.73,83,,1.3,0.96,0.72,2.08,,0.6,1.63,0.94,0.88,,0.77,0.31,0.69,64.48,0.91,0.88,,0.6,0.61,0.91,0.88,,0.61,0.72,0.6,0.68,1.48,0.26
S1255_1142 (2).tif,365.12,6689,77.41,123.19,289.92,119,54.03,124,81,92.29,342.58,7423,349.04,121.32,74.94,124.33,77.41,123.19,125,,1.26,0.91,0.7,2.2,,0.63,1.62,0.96,0.9,,0.79,0.35,0.65,92.29,0.94,0.9,,0.63,0.62,0.94,0.9,,0.55,0.7,0.63,0.63,1.59,0.24
S1255_1144 (2).tif,361.99,6744,76.83,114.56,291.11,113,58.91,115,77,92.66,334.43,7357,329.08,117.07,75.05,115.58,76.83,114.56,117,,1.24,0.95,0.77,1.92,,0.65,1.56,0.91,0.92,,0.8,0.33,0.67,92.66,0.92,0.92,,0.65,0.64,0.92,0.92,,0.64,0.77,0.65,0.67,1.49,0.32
