PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1272_800 (2).tif,405.45,5254,80.13,104.58,256.95,87,51.46,119,83,81.79,319.5,6403,333.02,103.93,68.3,120.03,80.13,104.58,121,,1.58,1.1,0.63,1.69,,0.4,1.52,0.82,0.82,,0.63,0.3,0.7,81.79,0.79,0.82,,0.4,0.66,0.79,0.82,,0.46,0.63,0.4,0.77,1.31,0.12
S1272_800 (3).tif,120.47,834,33.54,33.54,102.37,34,24.88,35,32,32.59,112.81,914,115.79,34.95,31.19,36.89,33.54,33.54,37,,1.18,0.9,0.74,1.37,,0.72,1.12,0.96,0.91,,0.85,0.09,0.91,32.59,0.94,0.91,,0.72,0.89,0.94,0.91,,0.78,0.74,0.72,1,1,0.42
S1272_800.tif,549.19,11787,109.37,170.92,384.86,148,68.92,179,110,122.51,477.29,13887,504.19,173.18,95.15,179.66,109.37,170.92,180,,1.43,0.98,0.63,2.15,,0.49,1.82,0.92,0.85,,0.7,0.39,0.61,122.51,0.87,0.85,,0.49,0.55,0.87,0.85,,0.46,0.63,0.49,0.64,1.56,0.14
S1272_804 (2).tif,199.82,1627,40.28,61.66,142.99,56,27.27,62,41,45.51,177.34,1968,189.27,59.52,36.89,64.45,40.28,61.66,64,,1.4,0.98,0.66,2.05,,0.51,1.61,0.95,0.83,,0.72,0.34,0.66,45.51,0.89,0.83,,0.51,0.62,0.89,0.83,,0.5,0.66,0.51,0.65,1.53,0.17
S1272_808.tif,416.23,8761,93.62,134.28,331.8,123,65.1,143,91,105.62,388.92,9598,376.21,136.75,83.09,143.01,93.62,134.28,144,,1.25,0.91,0.7,1.89,,0.64,1.65,0.9,0.91,,0.8,0.36,0.64,105.62,0.93,0.91,,0.64,0.61,0.93,0.91,,0.55,0.7,0.64,0.7,1.43,0.24
S1272_812 (2).tif,455.79,8998,103.97,124.73,336.26,120,75.38,140,110,107.04,401.22,10236,430.04,127.69,98.54,141.88,103.97,124.73,140,,1.36,1,0.69,1.59,,0.54,1.3,0.94,0.88,,0.74,0.21,0.79,107.04,0.88,0.88,,0.54,0.77,0.88,0.88,,0.57,0.69,0.54,0.83,1.2,0.21
S1272_814.tif,497.53,11435,98.84,151.08,379.07,148,76,152,99,120.66,444.98,12473,460.48,153.96,98.6,156.47,98.84,151.08,155,,1.31,1,0.77,1.95,,0.58,1.56,0.93,0.92,,0.76,0.35,0.65,120.66,0.89,0.92,,0.58,0.64,0.89,0.92,,0.59,0.77,0.58,0.65,1.53,0.26
S1272_830 (2).tif,704.52,19146,159.66,160.18,490.51,161,122.99,190,163,156.13,559.16,21897,571.07,177.21,143.82,189.94,159.66,160.18,191,,1.44,1.1,0.75,1.31,,0.48,1.23,0.81,0.87,,0.7,0.14,0.86,156.13,0.79,0.87,,0.48,0.81,0.79,0.87,,0.68,0.75,0.48,1,1,0.25
S1272_836 (2).tif,268.49,2152,55.54,59.88,164.45,54,39.47,64,56,52.35,203.14,2768,204.47,57.02,52.95,69.38,55.54,59.88,70,,1.63,1.16,0.65,1.37,,0.38,1.08,0.76,0.78,,0.61,0.13,0.88,52.35,0.76,0.78,,0.38,0.93,0.76,0.78,,0.57,0.65,0.38,0.93,1.08,0.14
S1272_836.tif,332.49,5711,63.52,119.55,267.89,117,47.68,120,64,85.27,315.76,5990,321.92,119.72,61.65,120.53,63.52,119.55,122,,1.24,0.91,0.75,2.45,,0.65,1.94,0.97,0.95,,0.81,0.47,0.53,85.27,0.95,0.95,,0.65,0.51,0.95,0.95,,0.5,0.75,0.65,0.53,1.88,0.24
S1272_848 (3).tif,452.27,8241,84.4,149.86,321.81,144,55.4,153,83,102.43,400.19,9492,398.94,149.34,75.8,153.47,84.4,149.86,155,,1.41,0.97,0.65,2.6,,0.51,1.97,0.88,0.87,,0.71,0.46,0.54,102.43,0.88,0.87,,0.51,0.51,0.88,0.87,,0.45,0.65,0.51,0.56,1.78,0.15
