PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1283_1008 (3).tif,565.71,11401,101.54,177.71,378.51,178,64.23,177,103,120.48,481.97,13731,490.45,177.31,89.52,179.2,101.54,177.71,180,,1.49,1.01,0.63,2.77,,0.45,1.98,0.87,0.83,,0.67,0.42,0.58,120.48,0.85,0.83,,0.45,0.5,0.85,0.83,,0.45,0.63,0.45,0.57,1.75,0.13
S1283_1014.tif,426.78,7955,101.86,108.63,316.17,108,74.51,123,98,100.64,366.98,8744,380.24,120.52,89.07,124.89,101.86,108.63,125,,1.35,1.01,0.72,1.45,,0.55,1.35,0.89,0.91,,0.74,0.2,0.8,100.64,0.86,0.91,,0.55,0.74,0.86,0.91,,0.65,0.72,0.55,0.94,1.07,0.26
S1283_1034.tif,352.58,5216,81,86.76,256.02,85,61.83,106,80,81.49,291.48,5870,297.75,94.23,73.12,106.4,81,86.76,108,,1.38,1.05,0.74,1.37,,0.53,1.29,0.84,0.89,,0.73,0.25,0.75,81.49,0.83,0.89,,0.53,0.78,0.83,0.89,,0.59,0.74,0.53,0.93,1.07,0.23
S1283_1036.tif,254.69,3278,46.29,97.23,202.96,87,33.51,99,50,64.6,250.55,3543,249.35,96.56,44.42,99.86,46.29,97.23,101,,1.25,0.89,0.73,2.6,,0.64,2.17,0.98,0.93,,0.8,0.49,0.51,64.6,0.98,0.93,,0.64,0.46,0.98,0.93,,0.42,0.73,0.64,0.48,2.1,0.19
S1283_1046 (2).tif,336.23,5952,79.94,109.29,273.49,107,54.25,110,81,87.05,315.71,6586,326.34,103.21,77.42,110.61,79.94,109.29,111,,1.23,0.89,0.68,1.97,,0.66,1.33,0.97,0.9,,0.81,0.26,0.74,87.05,0.94,0.9,,0.66,0.75,0.94,0.9,,0.62,0.68,0.66,0.73,1.37,0.28
S1283_1052.tif,351.12,5865,75.4,103,271.48,104,57.26,103,77,86.42,308.43,6550,306.75,102.47,75.19,104.29,75.4,103,104,,1.29,0.98,0.76,1.82,,0.6,1.36,0.87,0.9,,0.77,0.25,0.75,86.42,0.88,0.9,,0.6,0.73,0.88,0.9,,0.69,0.76,0.6,0.73,1.37,0.31
S1283_1066.tif,294.15,4115,72.11,75.03,227.4,76,56.01,85,75,72.38,260.27,4668,264.93,80.87,67.82,88.24,72.11,75.03,89,,1.29,1,0.76,1.36,,0.6,1.19,0.9,0.88,,0.77,0.12,0.88,72.38,0.88,0.88,,0.6,0.84,0.88,0.88,,0.67,0.76,0.6,0.96,1.04,0.31
S1283_1072 (2).tif,522.62,11022,76.41,188.01,372.16,182,58.53,189,80,118.46,490.19,12795,515.37,197.79,75.81,191.93,76.41,188.01,192,,1.4,0.99,0.77,3.11,,0.51,2.61,0.99,0.86,,0.71,0.58,0.42,118.46,0.94,0.86,,0.51,0.38,0.94,0.86,,0.38,0.77,0.51,0.41,2.46,0.15
S1283_1080.tif,438.27,9989,102.55,134,354.3,134,74.33,136,104,112.78,404.17,10651,417.46,135.13,97.56,137.34,102.55,134,138,,1.24,0.93,0.73,1.8,,0.65,1.39,0.95,0.94,,0.81,0.24,0.76,112.78,0.92,0.94,,0.65,0.72,0.92,0.94,,0.67,0.73,0.65,0.77,1.31,0.32
S1283_1104.tif,386.62,6679,81.83,122.14,289.71,123,56.41,127,87,92.22,351.55,7725,371.01,113.85,80.91,128.45,81.83,122.14,129,,1.33,0.95,0.67,2.18,,0.56,1.41,0.96,0.86,,0.75,0.31,0.69,92.22,0.91,0.86,,0.56,0.71,0.91,0.86,,0.52,0.67,0.56,0.67,1.49,0.19
S1283_948.tif,720.83,13152,147.61,179.78,406.54,166,75.01,206,142,129.41,574.98,18768,603.4,197.8,106.74,210.01,147.61,179.78,210,,1.77,1.1,0.5,2.21,,0.32,1.85,0.84,0.7,,0.56,0.31,0.69,129.41,0.8,0.7,,0.32,0.54,0.8,0.7,,0.38,0.5,0.32,0.82,1.22,0.06
