PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1159_1334.tif,898.77,32825,172.17,300.3,642.25,290,110.38,324,184,204.44,853.94,37725,871.29,304.72,156.67,327.51,172.17,300.3,328,,1.4,0.95,0.63,2.63,,0.51,1.94,0.97,0.87,,0.71,0.43,0.57,204.44,0.95,0.87,,0.51,0.51,0.95,0.87,,0.39,0.63,0.51,0.57,1.74,0.13
S1159_1336.tif,759.98,23929,156.99,213.86,548.36,193,114.51,229,169,174.55,662.87,27549,667.66,213.68,152.43,233.68,156.99,213.86,235,,1.39,1.02,0.71,1.69,,0.52,1.4,0.88,0.87,,0.72,0.26,0.74,174.55,0.87,0.87,,0.52,0.71,0.87,0.87,,0.56,0.71,0.52,0.73,1.36,0.21
S1159_1338.tif,660.91,21188,130.63,213.45,516,206,98.74,214,131,164.25,624.38,23712,623.06,225.31,128.96,220.51,130.63,213.45,221,,1.28,0.96,0.76,2.09,,0.61,1.75,0.94,0.89,,0.78,0.39,0.61,164.25,0.94,0.89,,0.61,0.57,0.94,0.89,,0.55,0.76,0.61,0.61,1.63,0.26
S1159_1348.tif,955.09,34677,113.68,400.08,660.12,395,86.52,400,117,210.12,942.5,36243,1022.87,390.61,118.17,401.12,113.68,400.08,402,,1.45,0.93,0.76,4.57,,0.48,3.31,1.07,0.96,,0.69,0.71,0.29,210.12,0.99,0.96,,0.48,0.3,0.99,0.96,,0.27,0.76,0.48,0.28,3.52,0.1
S1159_1350 (2).tif,974.92,46698,222.65,278.73,766.04,279,167.13,285,229,243.84,892.21,51734,899.84,293.96,209.96,297.39,222.65,278.73,296,,1.27,0.97,0.75,1.67,,0.62,1.4,0.92,0.9,,0.79,0.2,0.8,243.84,0.92,0.9,,0.62,0.71,0.92,0.9,,0.67,0.75,0.62,0.8,1.25,0.31
S1159_1350.tif,601.61,16741,131.83,174.04,458.67,169,96.61,177,129,146,531,18736,534.26,176.66,124.98,185.83,131.83,174.04,187,,1.31,0.98,0.73,1.75,,0.58,1.41,0.89,0.89,,0.76,0.27,0.73,146,0.88,0.89,,0.58,0.71,0.88,0.89,,0.62,0.73,0.58,0.76,1.32,0.26
S1159_1352 (2).tif,575.6,15696,96.5,190.19,444.12,191,82.58,190,98,141.37,517.8,16284,529.17,199.49,102.27,191.87,96.5,190.19,191,,1.3,1,0.86,2.31,,0.6,1.95,0.92,0.96,,0.77,0.48,0.52,141.37,0.9,0.96,,0.6,0.51,0.9,0.96,,0.54,0.86,0.6,0.51,1.97,0.28
S1159_1364 (2).tif,605.55,18103,119.18,203.53,476.96,202,90.33,215,120,151.82,577.25,19400,603.77,215.31,111.99,218.55,119.18,203.53,219,,1.27,0.94,0.75,2.24,,0.62,1.92,1,0.93,,0.79,0.44,0.56,151.82,0.95,0.93,,0.62,0.52,0.95,0.93,,0.48,0.75,0.62,0.59,1.71,0.22
S1159_1364 (3).tif,593.14,14922,93.84,247.68,433.03,249,59.94,247,96,137.84,587,16015,619.9,231.12,85.71,247.7,93.84,247.68,249,,1.37,0.87,0.64,4.15,,0.53,2.7,1.05,0.93,,0.73,0.61,0.39,137.84,0.99,0.93,,0.53,0.37,0.99,0.93,,0.31,0.64,0.53,0.38,2.64,0.11
S1159_1364.tif,616.88,16972,124.88,176.17,461.82,173,96.86,182,128,147,533.14,18601,536.18,177.36,124.37,182.98,124.88,176.17,184,,1.34,1.02,0.77,1.79,,0.56,1.43,0.87,0.91,,0.75,0.3,0.7,147,0.86,0.91,,0.56,0.7,0.86,0.91,,0.65,0.77,0.56,0.71,1.41,0.28
S1159_1366 (3).tif,815.34,35111,194.49,257.51,664.24,250,136.51,269,200,211.43,765.78,37751,790.16,260.2,176.02,270.45,194.49,257.51,272,,1.23,0.9,0.7,1.83,,0.66,1.48,0.97,0.93,,0.81,0.26,0.74,211.43,0.94,0.93,,0.66,0.68,0.94,0.93,,0.61,0.7,0.66,0.76,1.32,0.28
