PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1229_1002.tif,1164.11,44012,177.13,406.28,743.69,371,110.46,404,182,236.72,1027.02,56130,1086.35,398.32,164.1,407.82,177.13,406.28,408,,1.57,1,0.61,3.36,,0.41,2.43,0.93,0.78,,0.64,0.55,0.45,236.72,0.88,0.78,,0.41,0.41,0.88,0.78,,0.34,0.61,0.41,0.44,2.29,0.08
S1229_1004 (3).tif,497.97,8320,105.41,112.02,323.35,111,77.11,127,117,102.92,384.56,9905,388.39,116.43,95.54,127.26,105.41,112.02,128,,1.54,1.15,0.7,1.44,,0.42,1.22,0.78,0.84,,0.65,0.08,0.92,102.92,0.77,0.84,,0.42,0.82,0.77,0.84,,0.65,0.7,0.42,0.94,1.06,0.19
S1229_1004.tif,457.73,12280,124.71,124.96,392.83,126,98.7,148,126,125.04,439.43,12980,440.67,138.21,115.21,149.75,124.71,124.96,151,,1.17,0.92,0.79,1.28,,0.74,1.2,0.96,0.95,,0.86,0.15,0.85,125.04,0.96,0.95,,0.74,0.83,0.96,0.95,,0.7,0.79,0.74,1,1,0.4
S1229_1006.tif,386.43,5798,67,141,269.93,138,40.92,141,69,85.92,353.91,6353,395.77,134.84,62.35,141.35,67,141,143,,1.43,0.93,0.61,3.37,,0.49,2.16,1.02,0.91,,0.7,0.51,0.49,85.92,0.92,0.91,,0.49,0.46,0.92,0.91,,0.37,0.61,0.49,0.48,2.1,0.11
S1229_1010.tif,374.98,4917,70.32,102.21,248.57,98,50.46,104,70,79.12,304.45,5921,308.49,104.02,65.62,106.85,70.32,102.21,107,,1.51,1.09,0.68,1.94,,0.44,1.59,0.82,0.83,,0.66,0.33,0.67,79.12,0.81,0.83,,0.44,0.63,0.81,0.83,,0.55,0.68,0.44,0.69,1.45,0.16
S1229_1012.tif,488.11,13380,125.33,141.6,410.05,142,94.7,156,135,130.52,466.46,14266,480.82,145.42,122.44,158.77,125.33,141.6,159,,1.19,0.91,0.75,1.5,,0.71,1.19,0.99,0.94,,0.84,0.13,0.87,130.52,0.96,0.94,,0.71,0.84,0.96,0.94,,0.68,0.75,0.71,0.89,1.13,0.36
S1229_1016.tif,431.24,9951,109.6,114.16,353.62,114,87.73,123,119,112.56,388.42,10670,393.46,117.55,109.14,126.39,109.6,114.16,127,,1.22,0.96,0.8,1.3,,0.67,1.08,0.91,0.93,,0.82,0.03,0.97,112.56,0.9,0.93,,0.67,0.93,0.9,0.93,,0.79,0.8,0.67,0.96,1.04,0.42
S1229_1022 (2).tif,288.05,4330,63.28,98.37,233.26,99,43.84,98,65,74.25,267.42,4719,282.48,93.65,60.19,98.45,63.28,98.37,100,,1.23,0.89,0.7,2.26,,0.66,1.56,0.98,0.92,,0.81,0.34,0.66,74.25,0.93,0.92,,0.66,0.64,0.93,0.92,,0.57,0.7,0.66,0.64,1.55,0.26
S1229_1022.tif,443.35,8601,74.2,150.33,328.76,147,58.17,155,80,104.65,397.53,9477,409.16,155.38,72.91,157,74.2,150.33,158,,1.35,0.99,0.77,2.53,,0.55,2.13,0.92,0.91,,0.74,0.48,0.52,104.65,0.9,0.91,,0.55,0.47,0.9,0.91,,0.44,0.77,0.55,0.49,2.03,0.19
S1229_1026.tif,483.55,11227,118.34,141.77,375.61,138,79.77,142,123,119.56,449.16,12665,474.97,136.55,113.68,151.75,118.34,141.77,146,,1.29,0.93,0.67,1.73,,0.6,1.2,0.98,0.89,,0.78,0.13,0.87,119.56,0.93,0.89,,0.6,0.83,0.93,0.89,,0.62,0.67,0.6,0.83,1.2,0.25
S1229_1034.tif,591.49,20683,132.23,188.09,509.81,177,109.68,202,145,162.28,576.02,21535,596.31,196.46,137.82,210.28,132.23,188.09,212,,1.16,0.92,0.83,1.61,,0.74,1.43,1.01,0.96,,0.86,0.28,0.72,162.28,0.97,0.96,,0.74,0.7,0.97,0.96,,0.6,0.83,0.74,0.7,1.42,0.37
