PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1255_1128.tif,533.53,12919,114.21,156.47,402.92,149,84.03,160,120,128.25,461.79,14430,479.46,150.35,114.1,162.22,114.21,156.47,161,,1.32,0.99,0.72,1.77,,0.57,1.32,0.9,0.9,,0.76,0.25,0.75,128.25,0.87,0.9,,0.57,0.76,0.87,0.9,,0.63,0.72,0.57,0.73,1.37,0.26
S1255_1130.tif,430.46,9979,81.67,159.97,354.12,156,62.41,162,83,112.72,424.6,10455,440.54,167.02,78.87,162.2,81.67,159.97,163,,1.22,0.89,0.76,2.5,,0.68,2.12,1.02,0.95,,0.82,0.49,0.51,112.72,0.99,0.95,,0.68,0.47,0.99,0.95,,0.48,0.76,0.68,0.51,1.96,0.25
S1255_1140 (2).tif,361.99,5389,73,106.01,260.23,107,50.5,105,78,82.83,308.45,6410,319.83,104.29,68.36,106.02,73,106.01,107,,1.39,1.01,0.7,2.12,,0.52,1.53,0.88,0.84,,0.72,0.26,0.74,82.83,0.85,0.84,,0.52,0.66,0.85,0.84,,0.61,0.7,0.52,0.69,1.45,0.22
S1255_1140 (3).tif,329.52,5717,65.22,112.31,268.03,109,50.95,114,67,85.32,311.14,6045,325.44,115.18,64.99,115.04,65.22,112.31,116,,1.23,0.93,0.78,2.14,,0.66,1.77,0.99,0.95,,0.81,0.41,0.59,85.32,0.94,0.95,,0.66,0.56,0.94,0.95,,0.55,0.78,0.66,0.58,1.72,0.28
S1255_1142.tif,476.76,9004,111.27,124.09,336.37,121,77.74,149,112,107.07,425.42,11006,450.21,133.56,99.29,151.46,111.27,124.09,152,,1.42,1.01,0.65,1.56,,0.5,1.35,0.94,0.82,,0.71,0.25,0.75,107.07,0.89,0.82,,0.5,0.74,0.89,0.82,,0.5,0.65,0.5,0.9,1.12,0.16
S1255_1144 (6).tif,648.24,11750,80.77,218.97,384.26,218,53.98,219,81,122.31,544.22,14511,561.07,240.42,71.72,220.72,80.77,218.97,221,,1.69,1.08,0.66,4.04,,0.35,3.35,0.87,0.81,,0.59,0.63,0.37,122.31,0.84,0.81,,0.35,0.3,0.84,0.81,,0.31,0.66,0.35,0.37,2.71,0.07
S1255_1146 (2).tif,252.79,3524,61.43,77.7,210.44,70,44.7,93,61,66.98,243.14,3763,251.99,84.78,54.5,93.06,61.43,77.7,94,,1.2,0.91,0.74,1.57,,0.69,1.56,1,0.94,,0.83,0.34,0.66,66.98,0.96,0.94,,0.69,0.64,0.96,0.94,,0.52,0.74,0.69,0.79,1.27,0.27
S1255_1146 (3).tif,572.3,14330,134.61,153.84,424.35,141,93.17,173,125,135.08,494.32,15769,496.22,164,114.67,174.31,134.61,153.84,175,,1.35,0.99,0.69,1.51,,0.55,1.43,0.87,0.91,,0.74,0.28,0.72,135.08,0.86,0.91,,0.55,0.7,0.86,0.91,,0.6,0.69,0.55,0.88,1.14,0.23
S1255_1146 (4).tif,433.69,6821,95.42,104.08,292.77,102,67.04,121,90,93.19,345.08,7879,358.39,115.83,80.87,121.43,95.42,104.08,123,,1.48,1.09,0.69,1.52,,0.46,1.43,0.83,0.87,,0.68,0.26,0.74,93.19,0.8,0.87,,0.46,0.7,0.8,0.87,,0.59,0.69,0.46,0.92,1.09,0.18
S1255_1156 (2).tif,347.26,7432,94.15,108.63,305.6,108,68.31,109,95,97.28,336.88,7718,362.15,105.7,92.77,116.03,94.15,108.63,111,,1.14,0.86,0.73,1.58,,0.77,1.14,1.04,0.96,,0.88,0.13,0.87,97.28,0.97,0.96,,0.77,0.88,0.97,0.96,,0.7,0.73,0.77,0.87,1.15,0.4
S1255_1158.tif,387.26,8537,93.81,118.88,327.53,111,72.03,130,94,104.26,368.63,9069,378.47,125.81,88.07,130.45,93.81,118.88,131,,1.18,0.91,0.77,1.54,,0.72,1.43,0.98,0.94,,0.85,0.28,0.72,104.26,0.95,0.94,,0.72,0.7,0.95,0.94,,0.64,0.77,0.72,0.79,1.27,0.35
