PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1272_802.tif,472.42,11815,95.29,171.6,385.32,172,68.76,172,96,122.65,451.06,12433,457.35,169.33,91.02,172.42,95.29,171.6,174,,1.23,0.89,0.72,2.5,,0.67,1.86,0.97,0.95,,0.82,0.44,0.56,122.65,0.95,0.95,,0.67,0.54,0.95,0.95,,0.51,0.72,0.67,0.56,1.8,0.24
S1272_804.tif,170.27,1649,40.8,56.85,143.95,50,28.6,59,40,45.82,164.85,1777,164.93,55.89,38.52,59.69,40.8,56.85,60,,1.18,0.87,0.71,1.75,,0.71,1.45,0.97,0.93,,0.85,0.32,0.68,45.82,0.97,0.93,,0.71,0.69,0.97,0.93,,0.59,0.71,0.71,0.72,1.39,0.3
S1272_806.tif,479.59,8358,71.85,176.08,324.08,163,47.64,179,72,103.16,435.99,9708,459.82,173,65.18,180.24,71.85,176.08,181,,1.48,0.97,0.66,3.42,,0.46,2.65,0.96,0.86,,0.68,0.6,0.4,103.16,0.91,0.86,,0.46,0.38,0.91,0.86,,0.33,0.66,0.46,0.41,2.45,0.1
S1272_810.tif,482.66,13476,111.42,168.19,411.51,157,79.83,173,110,130.99,468.27,14038,468.51,168.48,103.64,173.1,111.42,168.19,174,,1.17,0.86,0.72,1.97,,0.73,1.63,0.97,0.96,,0.85,0.36,0.64,130.99,0.97,0.96,,0.73,0.62,0.97,0.96,,0.57,0.72,0.73,0.66,1.51,0.3
S1272_812 (3).tif,521.49,12503,114.15,161.63,396.38,161,77.17,167,112,126.17,463.93,13791,500.86,160.33,104.73,170.64,114.15,161.63,172,,1.32,0.95,0.68,2.09,,0.58,1.53,0.96,0.91,,0.76,0.33,0.67,126.17,0.89,0.91,,0.58,0.65,0.89,0.91,,0.55,0.68,0.58,0.71,1.42,0.21
S1272_814 (2).tif,709.35,24312,150.42,247.57,552.73,233,97.71,252,154,175.94,676.88,26747,736.15,246.09,136.77,253.66,150.42,247.57,254,,1.28,0.89,0.65,2.38,,0.61,1.8,1.04,0.91,,0.78,0.39,0.61,175.94,0.95,0.91,,0.61,0.56,0.95,0.91,,0.48,0.65,0.61,0.61,1.65,0.19
S1272_818.tif,517.96,11346,134.1,142.39,377.6,141,80.93,170,119,120.19,465.97,13046,519.29,156.2,107.32,174.52,134.1,142.39,175,,1.37,0.94,0.59,1.74,,0.53,1.46,1,0.87,,0.73,0.3,0.7,120.19,0.9,0.87,,0.53,0.69,0.9,0.87,,0.47,0.59,0.53,0.94,1.06,0.15
S1272_820 pano.tif,913.77,31050,124.66,351.96,624.65,351,88.43,351,134,198.83,867.48,34537,930.94,349.32,122.17,355.53,124.66,351.96,355,,1.46,0.96,0.71,3.97,,0.47,2.86,1.02,0.9,,0.68,0.62,0.38,198.83,0.95,0.9,,0.47,0.35,0.95,0.9,,0.31,0.71,0.47,0.35,2.82,0.1
S1272_824 (2).tif,1015.16,56558,205.74,356.13,843.05,357,158.81,354,210,268.35,968.19,58656,978.6,350.28,208.24,356.14,205.74,356.13,357,,1.2,0.9,0.77,2.25,,0.69,1.68,0.96,0.96,,0.83,0.41,0.59,268.35,0.95,0.96,,0.69,0.59,0.95,0.96,,0.57,0.77,0.69,0.58,1.73,0.3
S1272_824 (3).tif,443.69,10155,112.05,128.13,357.23,126,79.22,147,113,113.71,421.59,11059,433.67,136.92,100.57,147.67,112.05,128.13,149,,1.24,0.92,0.71,1.59,,0.65,1.36,0.98,0.92,,0.81,0.23,0.77,113.71,0.95,0.92,,0.65,0.73,0.95,0.92,,0.59,0.71,0.65,0.87,1.14,0.27
S1272_824.tif,554.86,15843,118.54,173.85,446.19,165,91.3,188,121,142.03,519.46,17119,532.06,183.03,113.89,191.86,118.54,173.85,192,,1.24,0.95,0.77,1.81,,0.65,1.61,0.96,0.93,,0.8,0.36,0.64,142.03,0.94,0.93,,0.65,0.62,0.94,0.93,,0.55,0.77,0.65,0.68,1.47,0.27
