PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1283_1000.tif,469,11586,101.95,166.83,381.57,164,69.08,168,101,121.46,451.2,12580,455.36,157.99,96.04,168.01,101.95,166.83,169,,1.23,0.87,0.68,2.37,,0.66,1.65,0.97,0.92,,0.81,0.4,0.6,121.46,0.96,0.92,,0.66,0.61,0.96,0.92,,0.52,0.68,0.66,0.61,1.64,0.24
S1283_1006 (2).tif,343.02,6143,78.54,111.8,277.84,112,54.51,113,81,88.44,328.19,6750,342.8,113.78,74.51,113.89,78.54,111.8,115,,1.23,0.9,0.7,2.05,,0.66,1.53,1,0.91,,0.81,0.28,0.72,88.44,0.96,0.91,,0.66,0.65,0.96,0.91,,0.6,0.7,0.66,0.7,1.42,0.28
S1283_1006.tif,482.94,11808,96.73,170.34,385.21,170,69.32,175,98,122.61,468.11,12702,491.24,182.53,87.47,176.24,96.73,170.34,177,,1.25,0.9,0.72,2.45,,0.64,2.09,1.02,0.93,,0.8,0.44,0.56,122.61,0.97,0.93,,0.64,0.48,0.97,0.93,,0.48,0.72,0.64,0.57,1.76,0.22
S1283_1008 (2).tif,639.13,17737,146.27,175.18,472.11,170,101.76,193,137,150.28,568.09,20265,589.23,192.04,127.32,199.2,146.27,175.18,200,,1.35,0.99,0.69,1.67,,0.55,1.51,0.92,0.88,,0.74,0.29,0.71,150.28,0.89,0.88,,0.55,0.66,0.89,0.88,,0.57,0.69,0.55,0.83,1.2,0.21
S1283_1008.tif,398.48,9317,100.91,120.45,342.17,120,78.23,129,109,108.92,391.3,9774,409.59,122.21,101.13,131.93,100.91,120.45,130,,1.16,0.9,0.77,1.53,,0.74,1.21,1.03,0.95,,0.86,0.16,0.84,108.92,0.98,0.95,,0.74,0.83,0.98,0.95,,0.68,0.77,0.74,0.84,1.19,0.39
S1283_1018.tif,397.56,6732,61.4,154.4,290.86,155,43.43,154,61,92.58,374.98,7349,378.36,151.76,57.23,154.4,61.4,154.4,155,,1.37,0.92,0.71,3.57,,0.54,2.65,0.95,0.92,,0.73,0.6,0.4,92.58,0.94,0.92,,0.54,0.38,0.94,0.92,,0.36,0.71,0.54,0.4,2.51,0.14
S1283_1020.tif,637.85,16243,122.78,204.04,451.79,191,79.42,204,124,143.81,592.56,20096,616.27,193.92,120.27,213.06,122.78,204.04,212,,1.41,0.98,0.65,2.41,,0.5,1.61,0.97,0.81,,0.71,0.39,0.61,143.81,0.93,0.81,,0.5,0.62,0.93,0.81,,0.46,0.65,0.5,0.6,1.66,0.15
S1283_1030.tif,384.72,7347,87.99,118.83,303.85,114,61.73,123,90,96.72,353.06,8040,367.82,118.59,82.77,127.58,87.99,118.83,128,,1.27,0.93,0.7,1.85,,0.62,1.43,0.96,0.91,,0.79,0.27,0.73,96.72,0.92,0.91,,0.62,0.7,0.92,0.91,,0.57,0.7,0.62,0.74,1.35,0.25
S1283_1038.tif,462.11,9226,99.72,140.9,340.5,137,65.25,140,102,108.38,417.59,10199,456.37,134.25,99.44,147.11,99.72,140.9,142,,1.36,0.96,0.66,2.1,,0.54,1.35,0.99,0.9,,0.74,0.27,0.73,108.38,0.9,0.9,,0.54,0.74,0.9,0.9,,0.54,0.66,0.54,0.71,1.41,0.19
S1283_1042.tif,408.96,10624,107.38,128.68,365.38,128,82.66,136,106,116.31,401.99,11046,398.04,134.54,102.16,136.18,107.38,128.68,137,,1.12,0.87,0.77,1.55,,0.8,1.32,0.97,0.96,,0.89,0.22,0.78,116.31,0.98,0.96,,0.8,0.76,0.98,0.96,,0.73,0.77,0.8,0.83,1.2,0.45
S1283_1046.tif,384.37,6786,68.71,135.45,292.02,135,49.72,135,69,92.95,365.55,7643,377.34,138.07,67.39,136.7,68.71,135.45,138,,1.32,0.94,0.73,2.72,,0.58,2.05,0.98,0.89,,0.76,0.49,0.51,92.95,0.95,0.89,,0.58,0.49,0.95,0.89,,0.46,0.73,0.58,0.51,1.97,0.19
